"Lot ID","Company ID","Dealer ID","Warehouse ID","Item Name","Item ID","Item Price"
87,22,33,1,"নাবিল আটা  1kg",478,44.00
87,22,33,1,"নাবিল আটা  5kg",479,215.00
87,22,33,1,"সুজি 200g",480,13.00
87,22,33,1,"সরিষার তেল 80ml",482,21.00
87,22,33,1,"সরিষার তেল 500ml",484,115.00
87,22,33,1,"সয়াবিন তেল 2ltr",485,384.00
87,22,33,1,"সয়াবিন তেল 5ltr",486,940.00
87,22,33,1,"ঘি 100ml",487,160.00
87,22,33,1,"চাল (পাইজাম) 25kg",488,1212.00
87,22,33,1,"ছোলা 25kg",489,1881.00
87,22,33,1,"নাবিল চিনি গুঁড়া চাল 1kg",481,154.00
87,22,33,1,"সুজি 500g",491,32.00
87,22,33,1,"সরিষার তেল 16kg টিন",490,3104.00
100,22,33,1,"সুজি 200g",480,12.92
100,22,33,1,"সুজি 500g",491,32.30
100,22,33,1,"সয়াবিন তেল 2ltr",485,384.00
100,22,33,1,"সয়াবিন তেল 5ltr",486,940.00
100,22,33,1,"সুজি 200g",480,12.92
100,22,33,1,"সুজি 500g",491,32.30
100,22,33,1,"সয়াবিন তেল 2ltr",485,384.00
100,22,33,1,"নাবিল আটা  1kg",478,45.00
100,22,33,1,"সয়াবিন তেল 500ml",530,99.00
100,22,33,1,"আটাশ চাল 25kg",532,1350.00
100,22,33,1,"আটাশ চাল 10kg",533,660.00
100,22,33,1,"সয়াবিন তেল 500ml",530,98.00
100,22,33,1,"নাবিল আটা 2kg",531,88.00
104,22,33,1,"সুজি 200g",480,12.92
104,22,33,1,"সুজি 500g",491,32.30
104,22,33,1,"নাবিল আটা  1kg",478,44.00
104,22,33,1,"নাবিল আটা 2kg",531,86.00
104,22,33,1,"নাবিল আটা  5kg",479,215.00
104,22,33,1,"চিনিগুঁড়া 25kg",552,3525.00
104,22,33,1,"আটাশ চাল 25kg",532,1375.00
104,22,33,1,"মিনিকেট 25kg",551,1625.00
104,22,33,1,"সরিষার তেল 200ml",483,43.00
